Scenario,TestCase_Id,Testcase_Objective,Test_Step,Expected_Result,Actual_Result
Request Initiation,RI_001,To verify that a requestor can initiate a resource requirement,Enter valid request details and submit,Request is successfully submitted and a confirmation notification is sent to the requestor,
Request Initiation,RI_002,To verify that a requestor cannot initiate a resource requirement with incomplete details,Enter incomplete request details and submit,Error message is displayed indicating the required fields,
Request Initiation,RI_003,To verify that a requestor can initiate a resource requirement with special characters in the requirement name,Enter valid request details with special characters in the requirement name and submit,Request is successfully submitted and a confirmation notification is sent to the requestor,
PMO Review,PMO_001,To verify that PMO can review and validate request details,"Enter valid request details and submit, then login as PMO and review the request",PMO can view and validate the request details,
PMO Review,PMO_002,To verify that PMO cannot review and validate request details if they are not assigned to the project,"Enter valid request details and submit, then login as PMO who is not assigned to the project and try to review the request",Error message is displayed indicating that PMO is not authorized to review the request,
Internal Bench Check,IBC_001,To verify that resource management can check for availability within the internal bench,"Enter valid request details and submit, then login as resource management and check for internal bench availability",Resource management can view the availability of internal bench resources,
Internal Bench Check,IBC_002,To verify that resource management can assign internal bench resources to the project,"Enter valid request details and submit, then login as resource management and assign internal bench resources to the project",Internal bench resources are successfully assigned to the project,
Escalation to Talent Management,ETM_001,To verify that PMO can escalate the request to talent management if no internal bench resources are available,"Enter valid request details and submit, then login as PMO and escalate the request to talent management",Request is successfully escalated to talent management,
Talent Acquisition,TA_001,To verify that talent management can initiate recruitment,"Enter valid request details and submit, then login as talent management and initiate recruitment",Recruitment is successfully initiated,
Selection & Onboarding,SO_001,To verify that the final candidate is selected and onboarded,"Enter valid request details and submit, then login as talent management and select and onboard the final candidate",Final candidate is successfully selected and onboarded,
Tracking & Closure,TC_001,To verify that the status of the request is continuously tracked,"Enter valid request details and submit, then login as requestor and track the status of the request",Request status is successfully tracked and updated,
Tracking & Closure,TC_002,To verify that the request is marked as closed once onboarding is complete,"Enter valid request details and submit, then login as talent management and complete the onboarding process",Request is successfully marked as closed,
